,CitingAffiliatoinId,CitedAffiliatoinId,type_1,year_citing,year_cited,type_2,type_3,type_4
291,27837315,161318765,17,1990,1990,3,5.0,17.0
292,27837315,165799507,2,1990,1990,2,2.0,2.0
293,27837315,173498003,15,1990,1990,3,2.5,7.5
294,27837315,177328695,409,1990,1990,12,3.5555302063642755,32.19842657342654
295,27837315,181547552,32,1990,1990,5,5.904761904761905,24.0
296,27837315,185443292,2,1990,1990,1,1.0,1.0
297,27837315,188538660,6,1990,1990,2,3.0,6.0
298,27837315,192454743,2,1990,1990,2,0.4,0.6666666666666666
299,27837315,197604219,217,1990,1990,3,1.973150641533343,16.692307692307686
300,27837315,200719446,1,1990,1990,1,1.0,1.0
301,27837315,201448701,12,1990,1990,1,2.0,12.0
302,27837315,219193219,40,1990,1990,1,0.3225806451612901,2.5
303,27837315,223532165,309,1990,1990,12,45.80952380952373,154.00000000000006
304,27837315,859038795,3,1990,1990,3,1.5,1.6666666666666665
305,27837315,1282311441,30,1990,1990,1,0.24193548387096758,1.875
306,27837315,1289243028,20,1990,1990,1,0.16129032258064507,1.25
307,27837315,1299022934,2,1990,1990,1,0.6666666666666666,1.0
308,27837315,1299303238,23,1990,1990,4,4.809523809523808,9.0
309,27837315,1309629988,5,1990,1990,2,1.9999999999999998,5.0
310,27837315,1315649409,2211,1990,1990,12,19.21988768205885,174.04720279720385
311,27837315,1321305853,5,1990,1990,2,2.5,2.5
312,27837315,1330732676,1,1990,1990,1,1.0,1.0
313,27837315,1331384533,1,1990,1990,1,1.0,1.0
314,27837315,1335321130,4,1990,1990,1,1.0,4.0
315,27837315,1341412227,1,1990,1990,1,0.5,0.5
316,27837315,1343871089,40,1990,1990,1,0.3225806451612901,2.5
317,27837315,1344073410,197,1990,1990,17,35.43831168831166,122.41666666666674
318,27837315,2803043754,5,1990,1990,1,0.8333333333333333,2.5
319,28378711,7947594,5,1990,1990,3,0.4545454545454546,0.7142857142857142
320,28378711,103497121,1,1990,1990,1,0.09090909090909091,0.14285714285714285
321,28378711,130238516,4,1990,1990,2,0.36363636363636365,0.5714285714285714
322,28378711,1289243028,1,1990,1990,1,0.09090909090909091,0.14285714285714285
323,28378711,1338920048,1,1990,1990,1,0.09090909090909091,0.14285714285714285
324,29606459,29606459,26,1990,1990,6,11.0,26.0
325,29606459,52357470,3,1990,1990,1,3.0,3.0
326,29606459,867280407,8,1990,1990,2,4.0,8.0
327,29606459,1290900354,2,1990,1990,1,1.0,2.0
328,30558944,30558944,2,1990,1990,1,1.0,2.0
329,32389192,32389192,106,1990,1990,11,27.133333333333333,103.0
330,32389192,32971472,10,1990,1990,1,1.9999999999999998,10.0
331,32389192,51713134,11,1990,1990,1,1.0000000000000002,11.0
332,32389192,63966007,104,1990,1990,3,10.666666666666671,101.33333333333333
333,32389192,136199984,15,1990,1990,3,1.761904761904762,12.833333333333334
334,32389192,1283280774,13,1990,1990,2,4.333333333333333,11.0
335,32389192,1313298211,10,1990,1990,1,3.3333333333333335,5.0
336,32389192,1344073410,6,1990,1990,2,0.8571428571428571,3.0
337,32389192,2799853436,28,1990,1990,3,4.642857142857142,19.0
338,32610072,32610072,16,1990,1990,3,6.0,13.0
339,32907511,32907511,8,1990,1990,2,1.6,2.0
340,32907511,78577930,4,1990,1990,2,0.8,1.0
341,32907511,79576946,4,1990,1990,2,0.8,1.0
342,32907511,1327163397,4,1990,1990,2,0.8,1.0
343,32923980,1311921367,4,1990,1990,1,2.0,4.0
344,32971472,592451,19,1990,1990,3,7.999999999999998,19.0
345,32971472,1174212,2,1990,1990,1,0.6666666666666666,1.0
346,32971472,16285277,1,1990,1990,1,1.0,1.0
347,32971472,20089843,8,1990,1990,5,8.0,8.0
348,32971472,27837315,8,1990,1990,2,4.0,8.0
349,32971472,32971472,633,1990,1990,89,200.83333333333331,535.6666666666667
350,32971472,33213144,12,1990,1990,1,1.5,6.0
351,32971472,57206974,4,1990,1990,2,1.3333333333333333,2.0
352,32971472,63966007,16,1990,1990,5,4.75,9.766666666666666
353,32971472,79576946,3,1990,1990,1,3.0,3.0
354,32971472,83399316,6,1990,1990,3,4.5,4.5
355,32971472,95457486,2,1990,1990,1,1.0,1.0
356,32971472,102322052,1,1990,1990,1,0.3333333333333333,0.3333333333333333
357,32971472,102322142,17,1990,1990,4,10.666666666666664,12.0
358,32971472,122411786,14,1990,1990,5,9.0,11.0
359,32971472,123946342,1,1990,1990,1,1.0,1.0
360,32971472,136199984,37,1990,1990,8,14.166666666666668,19.5
361,32971472,157725225,3,1990,1990,3,1.8333333333333333,2.0
362,32971472,161318765,15,1990,1990,5,5.714285714285714,11.5
363,32971472,165951966,2,1990,1990,1,1.0,2.0
364,32971472,170897317,5,1990,1990,2,1.5,2.0
365,32971472,181233156,9,1990,1990,4,6.0,9.0
366,32971472,185103710,1,1990,1990,1,0.3333333333333333,0.5
367,32971472,204465549,18,1990,1990,2,2.666666666666667,9.0
368,32971472,219193219,17,1990,1990,9,8.0,14.0
369,32971472,1293067938,3,1990,1990,1,1.0,1.0
370,32971472,1322918889,9,1990,1990,2,2.75,7.5
371,32971472,1341412227,4,1990,1990,2,2.0,3.0
372,32971472,1344073410,29,1990,1990,5,5.562499999999999,14.566666666666666
373,32971472,2799853436,4,1990,1990,1,2.0,4.0
374,33213144,2613432,9,1990,1990,2,3.0,9.0
375,33213144,19990318,1,1990,1990,1,0.5,0.5
376,33213144,32971472,11,1990,1990,2,3.6666666666666665,7.0
377,33213144,33213144,638,1990,1990,53,201.33333333333354,575.5
378,33213144,36258959,2,1990,1990,1,1.0,2.0
379,33213144,63966007,17,1990,1990,5,6.583333333333333,11.600000000000001
380,33213144,86501945,4,1990,1990,3,1.3333333333333333,1.3333333333333333
381,33213144,95457486,1,1990,1990,1,0.5,0.5
382,33213144,103187081,1,1990,1990,1,0.2,0.3333333333333333
383,33213144,121820613,1,1990,1990,1,0.2,0.3333333333333333
384,33213144,124128386,4,1990,1990,2,1.3333333333333333,2.0
385,33213144,136199984,15,1990,1990,4,6.75,11.5
386,33213144,157725225,3,1990,1990,1,1.0,3.0
387,33213144,180670191,8,1990,1990,1,2.6666666666666665,4.0
388,33213144,181547552,1,1990,1990,1,1.0,1.0
389,33213144,204465549,14,1990,1990,5,7.333333333333333,12.0
390,33213144,1282105669,1,1990,1990,1,0.2,0.3333333333333333
391,33213144,1283280774,4,1990,1990,1,4.0,4.0
392,33213144,1321305853,5,1990,1990,2,2.5,2.5
393,33213144,1322918889,77,1990,1990,6,41.999999999999986,77.0
394,35364215,35364215,36,1990,1990,8,14.0,36.0
395,35364215,55732556,3,1990,1990,1,0.75,1.5
396,35566140,35566140,3,1990,1990,3,0.6666666666666666,1.0
397,35566140,40347166,7,1990,1990,3,1.5833333333333333,2.333333333333333
398,35566140,161318765,3,1990,1990,1,0.75,1.0
399,36106150,186131212,2,1990,1990,1,2.0,2.0
400,36258959,5388228,3,1990,1990,2,1.5,1.1666666666666665
401,36258959,12912129,808,1990,1990,12,7.022110400684966,66.29283216783213
402,36258959,17301866,10,1990,1990,1,0.08064516129032256,0.625
403,36258959,20089843,733,1990,1990,13,7.356216686199517,60.88942307692305
404,36258959,27837315,742,1990,1990,12,6.436861847489839,60.51442307692305
405,36258959,32971472,35,1990,1990,4,7.999999999999999,23.0
406,36258959,36258959,1054,1990,1990,71,171.16178301357488,482.58493589743586
407,36258959,40347166,331,1990,1990,5,8.76672474787475,30.371794871794837
408,36258959,44461941,1,1990,1990,1,0.25,0.5
409,36258959,63533367,5,1990,1990,1,0.4545454545454546,0.625
410,36258959,63966007,2273,1990,1990,15,30.605319084295623,198.5034965034984
411,36258959,66946132,355,1990,1990,4,9.157690479961975,32.384615384615344
412,36258959,70983195,4,1990,1990,1,2.0,4.0
413,36258959,72090969,4,1990,1990,3,1.6666666666666665,2.6666666666666665
414,36258959,74973139,786,1990,1990,16,6.835237357353619,63.68487762237759
415,36258959,81342731,2,1990,1990,1,1.0,1.0
416,36258959,95457486,8,1990,1990,2,4.0,7.0
417,36258959,97018004,3,1990,1990,2,2.0,3.0
418,36258959,102322052,1,1990,1990,1,1.0,1.0
419,36258959,103163165,300,1990,1990,4,2.649003421539721,25.76223776223772
420,36258959,103635307,400,1990,1990,4,10.051481070806261,36.26923076923072
421,36258959,111088046,6,1990,1990,2,1.5,5.333333333333333
422,36258959,122411786,678,1990,1990,14,6.891047307295569,56.095716783216766
423,36258959,135310074,681,1990,1990,5,8.977304279888951,61.11188811188899
424,36258959,136199984,361,1990,1990,16,13.862250614010598,41.202797202797214
425,36258959,145311948,439,1990,1990,15,7.842664406307723,47.290209790209786
